common_name|scientific_name|habitat|food|nest_placement|behavior|wingspan_cm|weight_g|conservation_id|backyard_tips
Carolina Wren|Thryothorus ludovicianus|Open woodlands|Insects|Cavity|Ground forager|29.0|21.0|1|Carolina Wrens visit suet-filled feeders during winter.
Tufted Titmouse|Baeolophus bicolor|Forests|Insects|Cavity|Foliage gleaner|26.0|21.6|1|Regulars at backyard feeders, especially in winter. They prefer sunflower seeds but will eat suet, peanuts, and other seeds as well.
Ruby-throated Hummingbird|Archilochus colubris|Open woodlands|Nectar|Tree|Hovering|11.0|3.2|1|Set up hummingbird feeders or plant tubular flowers to attract them.
Eastern Towhee|Pipilo erythrophthalmus|Scrub|Omnivore|Ground|Ground forager|28.0|40.0|1|Likely to visit, or even live in, a yard with brushy, shrubby, or overgrown borders.
Indigo Bunting|Passerina cyanea|Open woodlands|Insects|Shrub|Foliage gleaner|21.0|14.5|1|Attract them with feeders, particularly small seeds such as thistle or nyjer.
Dark-eyed Junco|Junco hyemalis|High elevation|Seeds|Ground|Ground forager|23.0|19.0|1|Scatter millet or cracked corn on the ground below feeders in winter.
Northern Cardinal|Cardinalis cardinalis|Scrub|Seeds|Shrub|Foliage gleaner|30.0|45.0|1|Sunflower seeds in a platform feeder. They feed at dawn and dusk more than midday.
Pileated Woodpecker|Dryocopus pileatus|Forests|Insects|Cavity|Bark forager|74.0|300.0|1|Leave dead snags standing. Suet feeders occasionally draw them in.
Common Raven|Corvus corax|High elevation|Omnivore|Cliff|Soaring|130.0|1200.0|1|Not a feeder bird. Watch high ridgelines and listen for the croaking call.
Red-tailed Hawk|Buteo jamaicensis|Fields|Small mammals|Tree|Soaring|122.0|1080.0|1|Nothing to offer at a feeder, though one may hunt the birds visiting yours.
Belted Kingfisher|Megaceryle alcyon|Wetland|Fish|Cavity|Aerial dive|52.0|150.0|2|Needs an open stream or pond with an earthen bank for nesting.
Wood Thrush|Hylocichla mustelina|Forests|Insects|Tree|Ground forager|33.0|47.0|2|Keep leaf litter and native understory. Populations have dropped sharply.
Peregrine Falcon|Falco peregrinus|Cliff|Birds|Cliff|Aerial dive|104.0|900.0|2|Reintroduced to regional cliffs. Watch gorges and rock faces in spring.
Cerulean Warbler|Setophaga cerulea|Forests|Insects|Tree|Foliage gleaner|20.0|9.3|3|Needs large blocks of mature slope forest. Not a backyard bird.
Golden-winged Warbler|Vermivora chrysoptera|Scrub|Insects|Ground|Foliage gleaner|20.0|9.0|3|Depends on high-elevation shrubland, a habitat that is disappearing.
Passenger Pigeon|Ectopistes migratorius|Forests|Nuts|Tree|Ground forager|64.0|350.0|4|Once darkened Appalachian skies in enormous flocks. The last wild bird was shot in 1900.

